cultivated plant	栽培植物
Florida key	佛羅里達州南岸外的珊瑚礁島
the purple	皇權；樞機主教的禮服（歷史或宗教用語）
sure as shooting	千真萬確；肯定地（口語）
running game	跑陣戰術（美式足球）
run away	逃跑
try on	試穿
electronic jamming	電子干擾
nerve center	神經中樞；核心指揮中心
free-base	以游離鹼形式吸食古柯鹼（毒品用語）
giant star	巨星（天文）
good turn	善行；幫忙
unsurprised	不感到驚訝的
summit meeting	高峰會議
sweet-smelling	芳香的
sweet-flavored	味道甜的
shoemaker's last	鞋楦
cobbler's last	鞋楦
TV channel	電視頻道
distribution channel	銷售通路
lace up	繫緊鞋帶；用帶子繫好
obstetrical delivery	分娩
blue runner	西大西洋的一種魚（魚名）
pair off	配成一對
swing over	轉向；改變立場
character reference	品行推薦；品行推薦人
labor movement	勞工運動
switch over	切換；改用
bursting charge	爆破裝藥（軍事用語）
explosive charge	炸藥裝藥（軍事用語）
pay cash	付現金
kick back	放鬆休息；回扣；反彈（依語境）
choke off	阻止；壓制
draw near	靠近；臨近
trigger off	引發
air out	通風；晾乾
rush along	匆忙前進
cherry tree	櫻桃樹
cherry red	櫻桃紅
tail assembly	飛機尾翼組件
draw and quarter	車裂肢解（歷史刑罰）
nonmagnetic	非磁性的
intuitive feeling	直覺
save up	存錢；積攢
check-out procedure	結帳或退房程序
check up on	查核；確認……的情況
check out	結帳離開；查看；借出（依語境）
German mark	德國馬克（舊貨幣）
Deutsche Mark	德國馬克（舊貨幣）
head word	詞條標目；中心詞
read/write head	讀寫磁頭
snail mail	傳統郵件（相對於電子郵件）
worthlessness	無價值；無用
keep quiet	保持安靜
nonracial	非種族性的
take aim	瞄準
range of a function	函數的值域
beat out	敲打出；擊敗（依語境）
twist around	纏繞；扭轉
tribal chief	部落首領
fall short of	未達到；不足
vomit up	吐出
keep down	壓低；抑制；使食物不被吐出（依語境）
particular proposition	特稱命題（邏輯學）
nonsurgical	非手術的
social rank	社會地位
belt out	放聲唱出
potato chip	洋芋片
Saratoga chip	洋芋片（舊稱）
poker chip	撲克籌碼
sense of taste	味覺
second gear	二檔
scare away	嚇跑
puff up	膨脹；腫起；使自大
puff out	鼓起；膨出
allow for	把……考慮在內；預留
lap up	舔食；欣然接受
jade green	翡翠綠
lead story	頭條新聞
jumper lead	汽車電瓶跨接線
field of force	力場
office staff	辦公室職員
suspension system	懸吊系統
in the raw	未加工的；裸露的
looking glass	鏡子（較舊的說法）
glass in	以玻璃圍住
cubic yard	立方碼
railway yard	鐵路調車場
pay off	還清；奏效；付清工資解僱（依語境）
figure of speech	修辭格；修辭表達
unaggressive	不具攻擊性的
send off	寄出；送行
reach out	伸出手；主動聯繫
dress circle	劇院二樓前排座位
traffic pattern	交通動線；航機起降航線
approach pattern	飛機進場航線
radiation pattern	輻射方向圖
nonclassical	非古典的
heat up	加熱；升溫
unalert	不警覺的
exercise set	一組練習；一組運動動作
stage set	舞台布景
make peace	講和；和解
dig out	挖出；找出
dig up	挖出；發掘
watch over	照看；守護
watch out	小心；留意
find oneself	發現自己處於某情況；找到自我
mean value	平均值
clean and jerk	挺舉（舉重）
make clean	使乾淨
clean house	打掃房屋；整頓組織
drop out	退出；輟學
master key	萬用鑰匙
queen mole rat	裸鼴鼠群中負責繁殖的雌鼠
wash drawing	淡彩畫
wash out	洗掉；沖毀
wash off	洗去
wash away	沖走
scoop shovel	大鏟；斗形鏟
scoop out	舀出；挖出
bend dexter	盾徽上的右斜帶（紋章學）
nonindustrial	非工業的
unclip	解開夾扣
mat up	結成一團；纏結
scratch line	起跑線；起始線
scratch up	刮傷；勉強湊出
real number	實數
permissive waste	因疏忽造成不動產價值減損（法律用語）
sharp-worded	言辭尖銳的
go game	圍棋
military commission	軍官任命；軍事委員會
unblock	疏通；解除封鎖
perfect tense	完成式
help oneself	自取；隨意取用
measure out	量出所需份量
finish up	完成；結束
scrape up	勉強湊足
blue sky	藍天
blue air	藍天；天空
wild blue yonder	遼闊的藍天
close up	關閉；靠攏；癒合（依語境）
open fire	開火
criminal record	犯罪紀錄
nonfinancial	非財務的
unangry	不生氣的
universal joint	萬向接頭
nontechnical	非技術性的
undescriptive	缺乏描述性的
nonmechanical	非機械式的
variety show	綜藝節目
flat tire	沒氣的輪胎
short circuit	短路
tail fin	尾鰭；尾翼
flash lamp	閃光燈
unsexy	不性感的；缺乏吸引力的
ruby-red	紅寶石色的；深紅色的
golf-club	高爾夫球桿；高爾夫俱樂部
nonrandom	非隨機的
weather sheet	迎風側的帆腳索（航海）
wear off	逐漸消失；逐漸減弱
wear down	磨損；使疲憊
wear thin	磨薄；逐渐失去耐性或吸引力
reference book	參考書
reference work	參考著作
unerect	不直立的
the boot	解僱（口語）
iron boot	鐵製刑靴（歷史刑具）
offer up	獻上
show up	出現；使顯露
dog-iron	壁爐柴架
lamp shade	燈罩
shade off	逐漸變化；逐漸淡去
senior high	高中
high school	中學；高中（依地區學制）
high gear	高速檔；高效率運作的狀態
zero point	零點；起點
zero in	集中注意；對準目標
sick of	厭倦
be sick	生病；嘔吐（英式用法）
pig bed	豬窩；骯髒凌亂的住處
pig it	像豬一樣過活；住得髒亂
nonoperational	未運作的；無法操作的
basketball shot	籃球投籃
spirit level	氣泡式水平儀
noninfectious	不具傳染性的
call into question	質疑
color in	著色；塗色
weight down	用重物壓住
blink away	眨眼擠去淚水
unfollow	取消追蹤
bolt out	突然衝出去
electric shaver	電動刮鬍刀
say farewell	道別
blue jet	藍色噴流（大氣現象）
brass section	銅管樂器組
bottom of the inning	一局下半局（棒球）
flip over	翻面；翻轉
flip out	情緒失控；興奮不已（口語）
hedge in	以樹籬圍住；限制
shift key	Shift 鍵；換檔鍵
bear in mind	記住；放在心上
rear end	後端；臀部
petty larceny	小額竊盜（法律用語）
escape valve	洩壓閥
escape cock	排放旋塞；洩壓閥
thin out	變稀疏；疏減
mess hall	集體食堂（常指軍隊）
bow down	鞠躬；屈服
silver grey	銀灰色
blood line	血統
unambiguity	明確性；沒有歧義
experimental condition	實驗條件
motley fool	穿彩衣的小丑（舊稱）
fool away	浪費；虛耗
sculptural relief	浮雕
grace of God	上帝的恩典
free grace	白白賜予的恩典（基督宗教用語）
down in the mouth	垂頭喪氣
down feather	絨羽
bolt down	匆忙吞下；用螺栓固定
microphone boom	麥克風吊桿
boom out	以低沉洪亮的聲音說出或發出
cargo hold	貨艙
let go of	放開；放下
pop music	流行音樂
pop out	突然出現；短暫外出
invertebrate foot	無脊椎動物的足
metrical foot	音步（詩律）
square shooter	誠實可靠的人（口語）
minute of arc	角分（角度單位）
disfluency	言語不流暢
rest period	休息時間
be active	活躍；積極活動
deregulate	解除管制
hole out	把高爾夫球打進洞
visible light	可見光
operate on	為……動手術；對……進行操作
sexual union	性交
dental plate	假牙托；假牙板
relation back	法律上的溯及原則
grass over	以草覆蓋；長滿草
nursing home	護理之家
rest home	安養院
slip of paper	小紙條
force out	迫使離開；擠出
force play	封殺（棒球）
draw play	假傳真跑戰術（美式足球）
draw poker	換牌撲克
cool down	冷卻；冷靜下來
cool off	降溫；消氣
noncomprehensive	不全面的
break of serve	破發球局（網球）
singular form	單數形式
skim off	撇去表層；抽取一部分
slow up	減速；使放慢
surface area	表面積
orchestra pit	樂池
cast anchor	拋錨
drop anchor	下錨
slam dance	衝撞式舞蹈
nonmodern	非現代的
old style	舊式；舊曆（依語境）
smooth out	弄平；解決問題
auction pitch	一種競叫式紙牌遊戲
weigh down	壓得下沉；使負擔沉重
rail line	鐵路線
telephone line	電話線路
nonreflective	不反光的；不加思索的
mill around	四處走動；徘徊
sense of smell	嗅覺
smell out	嗅出；察覺
bond paper	高級書寫紙
rich people	富人
polish up	擦亮；改進
smash up	砸毀；撞毀
fold up	摺起；倒閉（依語境）
dress out	清理動物胴體；換上特定服裝（依語境）
nonslippery	不滑的
constant quantity	常量
undomestic	不愛家務的；非家居的
snatch up	一把抓起；搶購
take form	成形
unportable	不便攜帶的
monkey around	胡鬧；亂動
solid state	固態
hook shot	鉤射（籃球）
free people	自由的人；自由民
unfree	不自由的
spark plug	火星塞；推動者
sparking plug	火星塞
male plug	公插頭
plug away	持續努力
drink in	盡情欣賞；全神貫注地吸收
nonrepresentative	不具代表性的
couple on	接上；連接
couple up	配對；連接起來
putting green	果嶺（高爾夫球）
right wing	右翼；右派
right hand	右手；得力助手
right on	完全正確（口語）
compass point	羅盤方位
full point	句點
decimal point	小數點
percentage point	百分點
unconscientious	不盡責的
railroad tie	鐵路枕木
sober up	酒醒；使清醒
nondisposable	非拋棄式的；不可任意處置的
of course	當然
pure tone	純音
whole tone	全音（音樂）
bus topology	匯流排拓樸（網路結構）
ask out	邀約外出；邀約約會
electron orbit	電子軌道
cranial orbit	眼窩
nonintellectual	非智性的；不偏重思考的
tip off	通風報信；事先透露
radio link	無線電鏈路
data link	資料鏈路
automatic pistol	自動手槍
cover song	翻唱歌曲
cream off	撇去奶油；取走最好的部分
mechanical press	機械壓床
military press	肩上推舉（健身）
press out	壓出；榨出
spin out	拖延；使持續較久
drop curtain	垂幕（劇場）
drop cloth	施工用防塵布
spare part	備用零件
atmospheric pressure	大氣壓力
air pressure	氣壓
fewest	最少的（可數名詞）
spit out	吐出
frame of reference	參考架構；判斷事物的觀點
piece of ass	物化性伴侶的粗俗稱呼（冒犯性，避免使用）
liquid state	液態
lobby group	遊說團體
poor people	窮人
tick off	打勾標記；惹惱；斥責（依語境）
stabile	固定不動的；固定式雕塑
solitary confinement	單獨監禁
nonpregnant	未懷孕的
mint candy	薄荷糖
foul-smelling	惡臭的
speech sound	語音
bull's eye	靶心
papal bull	教宗詔書
bull through	強行完成；硬闖過去
mental disturbance	精神困擾；精神障礙
primary quill	初級飛羽
primary coil	一次線圈
primary winding	一次繞組
jump out	跳出；格外顯眼
good fortune	好運
purchase order	採購單
rules of order	議事規則
duty tour	輪值期間；服勤期
spirit up	使振作
heel counter	鞋後跟的支撐片
unoriginality	缺乏原創性
